ape_id,Clothes,Ears,Hat,Fur,Mouth,Eyes,Sum Rarity,Mean Rarity
ApeGang #8572,,,,White,,,4.02,4.02
ApeGang #7612,,,,Cheetah,,,2.94,2.94
ApeGang #3831,,,,Tiger,,,5.17,5.17
ApeGang #3784,,,,Cream,,,8.450000000000001,8.450000000000001
ApeGang #3162,,,,Red Devil,,,1.6199999999999999,1.6199999999999999
ApeGang #1954,,,,Zebra,,,4.81,4.81
ApeGang #1067,,,,Strong Dark Brown,,,10.96,10.96
ApeGang #967,,,,Black,,,8.68,8.68
ApeGang #936,,,,Grey,,,8.15,8.15
ApeGang #708,,,,Rainbow,,,1.95,1.95
ApeGang #68,,,,Brown,,,42.43,42.43
