ape_id,Clothes,Ears,Hat,Fur,Mouth,Eyes,Sum Rarity,Mean Rarity
ApeGang #9154,Hippie,,,Cheetah,,,2.94,2.94
ApeGang #9981,Military,,,Cream,,,8.450000000000001,8.450000000000001
ApeGang #9883,Grey Striped T-Shirt,,,Black,,,8.68,8.68
ApeGang #9864,,,Sombrero,Brown,,,44.28,22.14
ApeGang #9855,,,Chef's,Grey,,,10.030000000000001,5.015000000000001
ApeGang #9735,,,,Cream,,Closed,11.47,5.735
ApeGang #9706,Yellow NBA Jersey,,,Black,,,8.68,8.68
ApeGang #9688,Orange Striped T-Shirt,,,Grey,,,8.15,8.15
ApeGang #9654,,,,Cream,Grin Gold,,11.540000000000001,5.7700000000000005
ApeGang #9623,,,Crown,Cream,,,10.340000000000002,5.170000000000001
ApeGang #9614,Red Hawaiian Shirt,,,Tiger,,,5.17,5.17
ApeGang #9607,,,,Rainbow,,Round Glasses,5.43,2.715
ApeGang #9551,,,,Strong Dark Brown,Grillz,,14.740000000000002,7.370000000000001
ApeGang #9509,,,,Brown,,Rainbow Sunglasses,44.19,22.095
ApeGang #9505,,,Crown,White,,,5.91,2.955
ApeGang #9470,,,,Cheetah,Snake,,6.24,3.12
ApeGang #9446,Winter Coat,,,Zebra,,,4.81,4.81
ApeGang #9428,,,,Strong Dark Brown,Corn,,14.22,7.11
ApeGang #9355,,,,Cheetah,,Diving Mask,4.52,2.26
ApeGang #9353,,,,Tiger,,Round Glasses,8.649999999999999,4.324999999999999
ApeGang #9352,,,,Cream,Baby Pacifier,,11.82,5.91
ApeGang #9292,,,Joker Hair,Zebra,,,5.17,2.585
ApeGang #9272,,,,Brown,,Eye Patch,45.79,22.895
ApeGang #9260,,,Military Helmet,Red Devil,,,3.4,1.7
ApeGang #9253,,,Borsalino,Grey,,,10.25,5.125
ApeGang #9238,,Airpods,,Cream,,,8.450000000000001,8.450000000000001
ApeGang #9193,,,Sushi Chef,Cream,,,10.260000000000002,5.130000000000001
ApeGang #9125,,,,Zebra,,Laser,6.4799999999999995,3.2399999999999998
ApeGang #9120,,,Halo,White,,,5.75,2.875
ApeGang #9013,,,,White,Oh,,6.879999999999999,3.4399999999999995
ApeGang #9012,Sheriff,,,Red Devil,,,1.6199999999999999,1.6199999999999999
ApeGang #8990,Fireman,,,Black,,,8.68,8.68
ApeGang #8970,Yellow NBA Jersey,,,Grey,,,8.15,8.15
ApeGang #8964,,,,Grey,,Strabismus,9.64,4.82
ApeGang #8958,,,Cowboy,Grey,,,9.99,4.995
ApeGang #8924,,,,Tiger,,Robot,7.83,3.915
ApeGang #8886,,,,Strong Dark Brown,,Closed,13.98,6.99
ApeGang #8855,,,,Grey,Baby Pacifier,,11.52,5.76
ApeGang #8846,,,,Strong Dark Brown,,3D Glasses,14.110000000000001,7.055000000000001
ApeGang #8790,,,,Zebra,Flames,,8.219999999999999,4.109999999999999
ApeGang #8787,,,Headphone,White,,,6.02,3.01
ApeGang #8777,,,Sushi Chef,Cheetah,,,4.75,2.375
ApeGang #8708,Fireman,,,Grey,,,8.15,8.15
ApeGang #8698,,,,Grey,Beard,,11.24,5.62
ApeGang #8623,,,Groom,Black,,,10.48,5.24
ApeGang #8594,,,Banana,Brown,,,44.15,22.075
ApeGang #8560,Winter Coat,,,Tiger,,,5.17,5.17
ApeGang #8547,,,,Strong Dark Brown,Flames,,14.370000000000001,7.1850000000000005
ApeGang #8528,Hotel Porter,,,Tiger,,,5.17,5.17
ApeGang #8511,,,Propeller,Red Devil,,,3.46,1.73
ApeGang #8503,,Diamond Stud,,Black,,,8.68,8.68
ApeGang #8495,,,,Strong Dark Brown,,Cyclops,12.790000000000001,6.3950000000000005
ApeGang #8467,,,Fireman,Cream,,,9.82,4.91
ApeGang #8460,,,,White,Mustache,,7.039999999999999,3.5199999999999996
ApeGang #8411,,,Brown Beanie,Strong Dark Brown,,,12.830000000000002,6.415000000000001
ApeGang #8406,,,,Cheetah,Corn,,6.199999999999999,3.0999999999999996
ApeGang #8358,,,Sushi Chef,Grey,,,9.96,4.98
ApeGang #8331,,,Halo,Strong Dark Brown,,,12.690000000000001,6.345000000000001
ApeGang #8298,,,,Grey,,Closed,11.17,5.585
ApeGang #8252,,,,Black,Grillz,,12.46,6.23
ApeGang #8250,Lumberjack,,,Cream,,,8.450000000000001,8.450000000000001
ApeGang #8242,,,Hotel Porter,White,,,5.66,2.83
ApeGang #8208,Red NBA Jersey,,,Cream,,,8.450000000000001,8.450000000000001
ApeGang #8186,,,,Brown,Oh,,45.29,22.645
ApeGang #8178,,,Viking Helmet,Tiger,,,7.04,3.52
ApeGang #8150,,,,Cream,,Gold Sunglasses,13.16,6.58
ApeGang #8047,,,Red NBA Headband,Zebra,,,6.83,3.415
ApeGang #7994,Lumberjack,,,Strong Dark Brown,,,10.96,10.96
ApeGang #7933,Winter Coat,,,Cheetah,,,2.94,2.94
ApeGang #7906,,,,Tiger,Snake,,8.47,4.235
ApeGang #7801,Mexican,,,Strong Dark Brown,,,10.96,10.96
ApeGang #7799,Purple Hoodie,,,Cheetah,,,2.94,2.94
ApeGang #7788,Fireman,,,Brown,,,42.43,42.43
ApeGang #7760,,,,Zebra,Yawn,,8.1,4.05
ApeGang #7757,,,,Rainbow,Grin Gold,,5.04,2.52
ApeGang #7752,Winter Coat,,,Brown,,,42.43,42.43
ApeGang #7727,,,,Cream,Snake,,11.750000000000002,5.875000000000001
ApeGang #7707,,,,White,,Hippie Glasses,7.43,3.715
ApeGang #7699,Blue Hoodie,,,Strong Dark Brown,,,10.96,10.96
ApeGang #7623,,Gold Hoop,,Tiger,,,5.17,5.17
ApeGang #7601,,,,Grey,,Diving Mask,9.73,4.865
ApeGang #7595,,,,Cheetah,,Monocle,6.34,3.17
ApeGang #7539,,,Flower Crown,Brown,,,44.41,22.205
ApeGang #7476,Mexican,,,Cheetah,,,2.94,2.94
ApeGang #7370,,,Fisherman,Zebra,,,6.79,3.395
ApeGang #7365,,,Magician,Cream,,,10.580000000000002,5.290000000000001
ApeGang #7362,Indian,,,Rainbow,,,1.95,1.95
ApeGang #7345,,,Flower Crown,Black,,,10.66,5.33
ApeGang #7292,,,Brown Beanie,Rainbow,,,3.8200000000000003,1.9100000000000001
ApeGang #7249,,,,White,Angry,,7.109999999999999,3.5549999999999997
ApeGang #7243,,,,Black,,Laser,10.35,5.175
ApeGang #7225,,,Pirate,Zebra,,,6.43,3.215
ApeGang #7194,,,Red NBA Headband,Cream,,,10.47,5.235
ApeGang #7182,Prison Jumpsuit,,,Black,,,8.68,8.68
ApeGang #7095,,,,Cream,Tongue Out,,11.610000000000001,5.805000000000001
ApeGang #7087,,,,White,,Robot,6.68,3.34
ApeGang #7071,,Gold Hoop,,Brown,,,42.43,42.43
ApeGang #7065,,,,Black,,3D Glasses,11.83,5.915
ApeGang #7061,Black Suit,,,Brown,,,42.43,42.43
ApeGang #7048,Lab Coat,,,Tiger,,,5.17,5.17
ApeGang #7014,,,,Cheetah,Joint,,6.1899999999999995,3.0949999999999998
ApeGang #6971,,,,Grey,,Black Sunglasses,12.68,6.34
ApeGang #6908,,,,Zebra,,Gold Sunglasses,9.52,4.76
ApeGang #6903,,,,Tiger,,Diving Mask,6.75,3.375
ApeGang #6898,,,Magician,Black,,,10.809999999999999,5.404999999999999
ApeGang #6866,,,,Black,Grin Rainbow,,11.95,5.975
ApeGang #6850,,,Headphone,Strong Dark Brown,,,12.96,6.48
ApeGang #6827,,,,Zebra,,Crazy,8.27,4.135
ApeGang #6820,,,Rabbit Ears,Brown,,,44.33,22.165
ApeGang #6780,,,,Grey,Covid Mask,,11.05,5.525
ApeGang #6769,Iron Man,,,Cream,,,8.450000000000001,8.450000000000001
ApeGang #6702,,,,Strong Dark Brown,Angry,,14.05,7.025
ApeGang #6697,,,Stuntman Helmet,Black,,,10.65,5.325
ApeGang #6676,,,,Cream,,Heart,11.750000000000002,5.875000000000001
ApeGang #6632,Red Hawaiian Shirt,,,Cream,,,8.450000000000001,8.450000000000001
ApeGang #4934,,,,Tiger,,Scar,8.64,4.32
ApeGang #6624,Cop,,,Black,,,8.68,8.68
ApeGang #6579,,,,Zebra,Beard,,7.8999999999999995,3.9499999999999997
ApeGang #6545,Lumberjack,,,Black,,,8.68,8.68
ApeGang #6499,,,Halo,Grey,,,9.88,4.94
ApeGang #6409,Magician,,,Cream,,,8.450000000000001,8.450000000000001
ApeGang #6395,,Diamond Stud,,Zombie,,,0.27999999999999997,0.27999999999999997
ApeGang #6379,Pirate,,,Black,,,8.68,8.68
ApeGang #6351,Hotel Porter,,,Grey,,,8.15,8.15
ApeGang #6344,Orange Striped T-Shirt,,,White,,,4.02,4.02
ApeGang #6338,,,Rabbit Ears,Zebra,,,6.709999999999999,3.3549999999999995
ApeGang #6314,,,Viking Helmet,Brown,,,44.3,22.15
ApeGang #6312,,,,Brown,,Sad,45.65,22.825
ApeGang #6282,,,,White,,Round Glasses,7.499999999999999,3.7499999999999996
ApeGang #6258,,,,Cream,Smoke Pipe,,11.56,5.78
ApeGang #6247,,,,Strong Dark Brown,Tongue Out,,14.120000000000001,7.0600000000000005
ApeGang #6241,,,,Cream,,Robot Glasses,10.940000000000001,5.470000000000001
ApeGang #6238,,,Military Helmet,Brown,,,44.21,22.105
ApeGang #6204,,Airpods,,Cheetah,,,2.94,2.94
ApeGang #6200,Hippie,,,Black,,,8.68,8.68
ApeGang #6169,Hotel Porter,,,Red Devil,,,1.6199999999999999,1.6199999999999999
ApeGang #6113,Nurse,,,Rainbow,,,1.95,1.95
ApeGang #6085,,,,Brown,Tongue Out,,45.59,22.795
ApeGang #6062,,,Horn,White,,,5.85,2.925
ApeGang #6057,,,,Zebra,,Heart,8.11,4.055
ApeGang #6051,,,War Bonnet,Tiger,,,6.91,3.455
ApeGang #5990,,,,Black,,Eye Patch,12.04,6.02
ApeGang #5981,Lab Coat,,,Cream,,,8.450000000000001,8.450000000000001
ApeGang #5905,Black Tank Top,,,Zebra,,,4.81,4.81
ApeGang #5872,,,Cowboy,Cheetah,,,4.779999999999999,2.3899999999999997
ApeGang #5824,,,,Brown,,Devil,44.06,22.03
ApeGang #5808,Mexican,,,Black,,,8.68,8.68
ApeGang #5686,,,,Tiger,,Gold Sunglasses,9.879999999999999,4.9399999999999995
ApeGang #5661,,,,Brown,,Diving Mask,44.01,22.005
ApeGang #5648,,,Nurse,Brown,,,44.269999999999996,22.134999999999998
ApeGang #5608,White Tank Top,,,Black,,,8.68,8.68
ApeGang #5571,,,,Rainbow,,Bruised,5.4,2.7
ApeGang #5564,Pimp Coat,,,Black,,,8.68,8.68
ApeGang #5480,,,,Grey,Smoke Pipe,,11.26,5.63
ApeGang #5412,,Diamond Stud,,White,,,4.02,4.02
ApeGang #5352,Banana Shirt,,,Brown,,,42.43,42.43
ApeGang #5336,,,Brown Beanie,Tiger,,,7.04,3.52
ApeGang #5118,,,,Brown,,Blind,43.87,21.935
ApeGang #5095,Orange Hawaiian Shirt ,,,Strong Dark Brown,,,10.96,10.96
ApeGang #5092,,,,Brown,Grin Rainbow,,45.7,22.85
ApeGang #5088,,,,Strong Dark Brown,,Eye Patch,14.32,7.16
ApeGang #5063,,,,Grey,,Robot,10.81,5.405
ApeGang #5026,,,,Black,,Diving Mask,10.26,5.13
ApeGang #4975,Hippie,,,Grey,,,8.15,8.15
ApeGang #4957,,,,Black,Oh,,11.54,5.77
ApeGang #4956,Nurse,,,Strong Dark Brown,,,10.96,10.96
ApeGang #4841,,,,Brown,,Bruised,45.88,22.94
ApeGang #4809,Groom,,,Black,,,8.68,8.68
ApeGang #4775,,,,Brown,Bubble Gum,,45.23,22.615
ApeGang #4750,,,Halo,Brown,,,44.16,22.08
ApeGang #4741,,Silver Hoop,,Brown,,,42.43,42.43
ApeGang #4676,,,,White,,Closed,7.039999999999999,3.5199999999999996
ApeGang #4661,,,,Zebra,Shocked,,7.9799999999999995,3.9899999999999998
ApeGang #4622,,,,Black,,Gold Sunglasses,13.39,6.695
ApeGang #4615,,,,Cream,Grillz,,12.23,6.115
ApeGang #4605,,,,Black,Mustache,,11.7,5.85
ApeGang #4598,,,,Tiger,Smoke Pipe,,8.28,4.14
ApeGang #4536,Pimp Coat,,,Cheetah,,,2.94,2.94
ApeGang #4532,,,,Brown,Cigarette,,45.66,22.83
