ape_id,Clothes,Ears,Hat,Fur,Mouth,Eyes,Sum Rarity,Mean Rarity
ApeGang #9195,Yellow NBA Jersey,,Viking Helmet,Brown,Joint,,47.55,15.85
ApeGang #9181,Toga,,,Brown,Grin Gold,Scar,48.989999999999995,16.33
ApeGang #6981,Hotel Porter,Silver Hoop,,Cream,Grin Rainbow,,11.72,5.86
ApeGang #6275,,,Chef's,Black,Grin Rainbow,3D Glasses,16.98,4.245
ApeGang #9999,Prison Jumpsuit,,Horn,Cream,Snake,,13.580000000000002,4.526666666666667
ApeGang #9997,Hotel Porter,,Purple Beanie,Cream,,Eye Patch,13.4,4.466666666666667
ApeGang #9996,Black Suit,,,Brown,Grillz,Blind,47.65,15.883333333333333
ApeGang #9989,Prison Jumpsuit,,,Tiger,Drool Rainbow,Hippie Glasses,11.84,3.9466666666666668
ApeGang #9986,Pirate,,Halo,Cream,Baby Pacifier,,13.55,4.516666666666667
ApeGang #9984,Hotel Porter,,,Cream,Beard,Monocle,14.940000000000001,4.98
ApeGang #9982,,Gold Hoop,Propeller,Black,Cigarette,,13.75,4.583333333333333
ApeGang #9978,Orange Striped T-Shirt,,,Brown,Oh,Eye Patch,48.65,16.216666666666665
ApeGang #9976,,,Laurel,Cream,Flames,Monocle,17.35,4.3375
ApeGang #9975,,,Pirate,Rainbow,Mustache,Round Glasses,10.07,2.5175
ApeGang #9974,White Tank Top,,Purple Beanie,Red Devil,Flames,,6.619999999999999,2.2066666666666666
ApeGang #9972,Winter Coat,,,Tiger,Covid Mask,Crazy,11.530000000000001,3.8433333333333337
ApeGang #9969,Space Suit,Silver Hoop,,Cream,Mustache,,11.47,5.735
ApeGang #9968,Cop,,Borsalino,Cream,Snake,,13.850000000000001,4.616666666666667
ApeGang #9962,Groom,,,Brown,Tongue Out,3D Glasses,48.74,16.246666666666666
ApeGang #9960,,,Flower Crown,Strong Dark Brown,Nose Ring,Closed,19.14,4.785
ApeGang #9954,Joker,,Headphone,Brown,,Bruised,47.88,15.96
ApeGang #9953,Military,Airpods,,Cheetah,Corn,,6.199999999999999,3.0999999999999996
ApeGang #9951,Pirate,Silver Hoop,,Zebra,Nose Ring,,7.99,3.995
ApeGang #9950,,Gold Hoop,Propeller,Tiger,Joker,,8.719999999999999,2.9066666666666663
ApeGang #9949,,Diamond Stud,Sombrero,White,,Eye Patch,9.229999999999999,3.076666666666666
ApeGang #9948,,,Fireman,Brown,Tongue Out,Laser,48.629999999999995,12.157499999999999
ApeGang #9947,,Diamond Stud,,Brown,Bubble Gum,Closed,48.25,16.083333333333332
ApeGang #9944,Military,Diamond Stud,Pirate,Grey,,,9.77,4.885
ApeGang #9943,,Bluetooth Earpiece,Chef's,Black,Smoke Pipe,,13.67,4.556666666666667
ApeGang #9942,Red Hawaiian Shirt,Bluetooth Earpiece,,Black,,Cyclops,10.51,5.255
ApeGang #9941,Banana Shirt,,Cop,Tiger,,Monocle,10.52,3.5066666666666664
ApeGang #9940,Grey Striped T-Shirt,,Hotel Porter,Black,Flames,,13.73,4.576666666666667
ApeGang #9935,,Bluetooth Earpiece,,Brown,Oh,Bruised,48.74,16.246666666666666
ApeGang #9933,Winter Coat,,,Strong Dark Brown,Beard,Scar,17.52,5.84
ApeGang #9929,Fireman,,,Brown,Joint,Black Sunglasses,50.21,16.736666666666668
ApeGang #9926,Grey Striped T-Shirt,,,Black,Mustache,Robot,14.36,4.786666666666666
ApeGang #9925,,,Party,Strong Dark Brown,Beard,Closed,18.87,4.7175
ApeGang #9917,Sheriff,,Yellow NBA Headband,Brown,,Closed,47.31,15.770000000000001
ApeGang #9915,,,Purple Beanie,Black,Angry,Hippie Glasses,16.77,4.1925
ApeGang #9914,Banana Shirt,Gold Hoop,,Black,,Crazy,12.14,6.07
ApeGang #9912,Nurse,,,Brown,Grin Rainbow,Gold Sunglasses,50.410000000000004,16.803333333333335
ApeGang #9911,Nurse,,Rabbit Ears,Strong Dark Brown,Joker,,14.57,4.8566666666666665
ApeGang #9907,Grey Striped T-Shirt,Silver Hoop,Top Hat,Brown,,,44.11,22.055
ApeGang #9905,Toga,,Red NBA Headband,Brown,Flames,,47.86,15.953333333333333
ApeGang #9904,,Gold Hoop,Fisherman,Zebra,Tongue Out,,9.95,3.3166666666666664
ApeGang #9902,Fireman,,Stuntman Helmet,Brown,Tongue Out,,47.56,15.853333333333333
ApeGang #9901,Hippie,,Fireman,Brown,,Eye Patch,47.16,15.719999999999999
ApeGang #9900,,,Brown Beanie,Grey,Grin Rainbow,3D Glasses,16.439999999999998,4.109999999999999
