ape_id,Clothes,Ears,Hat,Fur,Mouth,Eyes
ApeGang #9152,,,Red NBA Headband,Brown,Bubble Gum,
ApeGang #9132,Purple Hoodie,,Green Beanie,Brown,,
ApeGang #9998,Winter Coat,Silver Hoop,,Brown,,
ApeGang #9993,,,Fireman,Brown,Flames,
ApeGang #9971,,,War Bonnet,Zebra,,Gold Sunglasses
ApeGang #9967,Hippie,,,Brown,,Scar
ApeGang #9965,,,Flower Crown,Cream,Grillz,
ApeGang #9958,,Gold Hoop,Yellow NBA Headband,Brown,,
ApeGang #9956,,,Propeller,Brown,,Squinting
ApeGang #9955,Lumberjack,,Brown Beanie,Brown,,
ApeGang #9945,,,War Bonnet,Cream,Grillz,
ApeGang #9938,Pirate,,,Strong Dark Brown,,Strabismus
ApeGang #9932,,,Viking Helmet,White,,Black Sunglasses
ApeGang #9930,Orange Striped T-Shirt,,Banana,Brown,,
ApeGang #9927,,,Yellow NBA Headband,Brown,,Strabismus
ApeGang #9923,,,Yellow NBA Headband,Brown,Angry,
ApeGang #9922,,,,White,Drool Rainbow,Round Glasses
ApeGang #9916,Sheriff,,,Brown,,Devil
ApeGang #9906,Sheriff,,,Brown,,Gold Sunglasses
ApeGang #9903,White Tank Top,,,White,,Heart
ApeGang #9899,Hotel Porter,,,Cheetah,,Heart
ApeGang #9893,,,Military Helmet,Zebra,,Bruised
ApeGang #9889,,,,Brown,Grin Gold,Sad
ApeGang #9886,Devil Wings,,,Brown,,Monocle
ApeGang #9880,,,Sushi Chef,Brown,Tongue Out,
ApeGang #9874,Magician,,,Brown,,Strabismus
ApeGang #9873,Banana Shirt,,Fireman,Brown,,
ApeGang #9870,Hotel Porter,,,Brown,Grin Rainbow,
ApeGang #9865,,,Magician,Cheetah,,Robot
ApeGang #9863,,,Yellow NBA Headband,Brown,,Closed
ApeGang #9862,Military,,,Cream,,Sad
ApeGang #9859,,,Fisherman,Cream,Mustache,
ApeGang #9852,Orange Striped T-Shirt,,,Brown,Grin Gold,
ApeGang #9848,Black Tank Top,,Red NBA Headband,Cheetah,,
ApeGang #9826,Lumberjack,,Hippie Bandana,Cream,,
ApeGang #9824,,,Fisherman,Strong Dark Brown,Bubble Gum,
ApeGang #9822,,,Magician,Brown,Oh,
ApeGang #9817,Hippie,,,Brown,,Robot
ApeGang #9816,,Airpods,,Strong Dark Brown,Grin Rainbow,
