,Unnamed: 0,ape_id,Clothes,Ears,Hat,Fur,Mouth,Eyes
1,1.0,ApeGang #9195,Yellow NBA Jersey,,Viking Helmet,Brown,Joint,
3,3.0,ApeGang #9181,Toga,,,Brown,Grin Gold,Scar
8,8.0,ApeGang #6981,Hotel Porter,Silver Hoop,,Cream,Grin Rainbow,
9,9.0,ApeGang #6275,,,Chef's,Black,Grin Rainbow,3D Glasses
11,11.0,ApeGang #9999,Prison Jumpsuit,,Horn,Cream,Snake,
13,13.0,ApeGang #9997,Hotel Porter,,Purple Beanie,Cream,,Eye Patch
14,14.0,ApeGang #9996,Black Suit,,,Brown,Grillz,Blind
21,21.0,ApeGang #9989,Prison Jumpsuit,,,Tiger,Drool Rainbow,Hippie Glasses
24,24.0,ApeGang #9986,Pirate,,Halo,Cream,Baby Pacifier,
26,26.0,ApeGang #9984,Hotel Porter,,,Cream,Beard,Monocle
28,28.0,ApeGang #9982,,Gold Hoop,Propeller,Black,Cigarette,
32,32.0,ApeGang #9978,Orange Striped T-Shirt,,,Brown,Oh,Eye Patch
34,34.0,ApeGang #9976,,,Laurel,Cream,Flames,Monocle
35,35.0,ApeGang #9975,,,Pirate,Rainbow,Mustache,Round Glasses
36,36.0,ApeGang #9974,White Tank Top,,Purple Beanie,Red Devil,Flames,
38,38.0,ApeGang #9972,Winter Coat,,,Tiger,Covid Mask,Crazy
41,41.0,ApeGang #9969,Space Suit,Silver Hoop,,Cream,Mustache,
42,42.0,ApeGang #9968,Cop,,Borsalino,Cream,Snake,
48,48.0,ApeGang #9962,Groom,,,Brown,Tongue Out,3D Glasses
50,50.0,ApeGang #9960,,,Flower Crown,Strong Dark Brown,Nose Ring,Closed
56,56.0,ApeGang #9954,Joker,,Headphone,Brown,,Bruised
57,57.0,ApeGang #9953,Military,Airpods,,Cheetah,Corn,
59,59.0,ApeGang #9951,Pirate,Silver Hoop,,Zebra,Nose Ring,
60,60.0,ApeGang #9950,,Gold Hoop,Propeller,Tiger,Joker,
61,61.0,ApeGang #9949,,Diamond Stud,Sombrero,White,,Eye Patch
62,62.0,ApeGang #9948,,,Fireman,Brown,Tongue Out,Laser
63,63.0,ApeGang #9947,,Diamond Stud,,Brown,Bubble Gum,Closed
66,66.0,ApeGang #9944,Military,Diamond Stud,Pirate,Grey,,
67,67.0,ApeGang #9943,,Bluetooth Earpiece,Chef's,Black,Smoke Pipe,
68,68.0,ApeGang #9942,Red Hawaiian Shirt,Bluetooth Earpiece,,Black,,Cyclops
69,69.0,ApeGang #9941,Banana Shirt,,Cop,Tiger,,Monocle
70,70.0,ApeGang #9940,Grey Striped T-Shirt,,Hotel Porter,Black,Flames,
75,75.0,ApeGang #9935,,Bluetooth Earpiece,,Brown,Oh,Bruised
77,77.0,ApeGang #9933,Winter Coat,,,Strong Dark Brown,Beard,Scar
81,81.0,ApeGang #9929,Fireman,,,Brown,Joint,Black Sunglasses
84,84.0,ApeGang #9926,Grey Striped T-Shirt,,,Black,Mustache,Robot
85,85.0,ApeGang #9925,,,Party,Strong Dark Brown,Beard,Closed
93,93.0,ApeGang #9917,Sheriff,,Yellow NBA Headband,Brown,,Closed
95,95.0,ApeGang #9915,,,Purple Beanie,Black,Angry,Hippie Glasses
96,96.0,ApeGang #9914,Banana Shirt,Gold Hoop,,Black,,Crazy
98,98.0,ApeGang #9912,Nurse,,,Brown,Grin Rainbow,Gold Sunglasses
99,99.0,ApeGang #9911,Nurse,,Rabbit Ears,Strong Dark Brown,Joker,
103,103.0,ApeGang #9907,Grey Striped T-Shirt,Silver Hoop,Top Hat,Brown,,
105,105.0,ApeGang #9905,Toga,,Red NBA Headband,Brown,Flames,
106,106.0,ApeGang #9904,,Gold Hoop,Fisherman,Zebra,Tongue Out,
108,108.0,ApeGang #9902,Fireman,,Stuntman Helmet,Brown,Tongue Out,
109,109.0,ApeGang #9901,Hippie,,Fireman,Brown,,Eye Patch
110,110.0,ApeGang #9900,,,Brown Beanie,Grey,Grin Rainbow,3D Glasses
112,112.0,ApeGang #9898,Lumberjack,,Military Helmet,Tiger,Smoke Pipe,
113,113.0,ApeGang #9897,,,Brown Beanie,Grey,Baby Pacifier,Sad
114,114.0,ApeGang #9896,Magician,Bluetooth Earpiece,,Brown,,Rainbow Sunglasses
115,115.0,ApeGang #9895,,,Chef's,Strong Dark Brown,Cigarette,Scar
116,116.0,ApeGang #9894,,,Hippie Bandana,Black,Grin Rainbow,Robot Glasses
119,119.0,ApeGang #9891,,,Laurel,Alien,Mustache,Monocle
123,123.0,ApeGang #9887,Military,,Pirate,Cream,Flames,
125,125.0,ApeGang #9885,,,Rabbit Ears,Tiger,Mustache,Blind
126,126.0,ApeGang #9884,Blue Hoodie,,,Zebra,Mustache,Monocle
132,132.0,ApeGang #9878,Banana Shirt,,,Tiger,Cigarette,Gold Sunglasses
134,134.0,ApeGang #9876,,Airpods,Purple Beanie,Tiger,,Rainbow Sunglasses
139,139.0,ApeGang #9871,Banana Shirt,,Crown,Brown,,Devil
141,141.0,ApeGang #9869,Banana Shirt,,Cop,Brown,Snake,
142,142.0,ApeGang #9868,Yellow NBA Jersey,,,Rainbow,Angry,Eye Patch
143,143.0,ApeGang #9867,Black Suit,,Green Beanie,Brown,Grin Rainbow,
144,144.0,ApeGang #9866,Grey Striped T-Shirt,Diamond Stud,,Cream,Bubble Gum,
149,149.0,ApeGang #9861,Cop,,Pirate,Rainbow,Beard,
152,152.0,ApeGang #9858,,,Fireman,White,Covid Mask,Heart
154,154.0,ApeGang #9856,Sheriff,,,Cheetah,Angry,Bruised
156,156.0,ApeGang #9854,Hippie,,,Strong Dark Brown,Yawn,Rainbow Sunglasses
157,157.0,ApeGang #9853,,Silver Hoop,Pirate,Brown,,Eye Patch
161,161.0,ApeGang #9849,Yellow NBA Jersey,Airpods,Party,Grey,,
164,164.0,ApeGang #9846,Devil Wings,,Bandana,Grey,,Bruised
167,167.0,ApeGang #9843,Iron Man,,Stuntman Helmet,Brown,,Eye Patch
168,168.0,ApeGang #9842,,,Brain,Brown,Flames,Monocle
169,169.0,ApeGang #9841,Purple Hoodie,,,Rainbow,Covid Mask,Sad
170,170.0,ApeGang #9840,,Gold Hoop,,Brown,Covid Mask,Black Sunglasses
171,171.0,ApeGang #9839,Sheriff,,,Cheetah,Joker,Rainbow Sunglasses
173,173.0,ApeGang #9837,Sheriff,,Brain,Brown,,Hippie Glasses
174,174.0,ApeGang #9836,Winter Coat,,Crown,Brown,Drool Rainbow,
175,175.0,ApeGang #9835,Hotel Porter,,Military Helmet,Grey,,Monocle
176,176.0,ApeGang #9834,Nurse,,Laurel,Brown,Tongue Out,
179,179.0,ApeGang #9831,Nurse,,Rabbit Ears,Brown,,Round Glasses
185,185.0,ApeGang #9825,Groom,,Brain,Zebra,Beard,
187,187.0,ApeGang #9823,,,Hippie Bandana,Zebra,Flames,Robot
190,190.0,ApeGang #9820,,,Hippie Bandana,Tiger,Tongue Out,Laser
191,191.0,ApeGang #9819,Fireman,,War Bonnet,Brown,Covid Mask,
195,195.0,ApeGang #9815,Purple Hoodie,Gold Hoop,Laurel,Grey,,
198,198.0,ApeGang #9812,Black Suit,,Hippie Bandana,Rainbow,,Eye Patch
200,200.0,ApeGang #9810,Yellow NBA Jersey,,Viking Helmet,Brown,Grillz,
207,207.0,ApeGang #9803,Hotel Porter,,Yellow NBA Headband,Brown,,Sad
209,209.0,ApeGang #9801,White Tank Top,Diamond Stud,Bandana,Strong Dark Brown,,
214,214.0,ApeGang #9796,,,Cap,Brown,Covid Mask,Heart
215,215.0,ApeGang #9795,Indian,,,Strong Dark Brown,Yawn,Devil
216,216.0,ApeGang #9794,Groom,,,Brown,Covid Mask,Monocle
217,217.0,ApeGang #9793,,,Rabbit Ears,Brown,Snake,Sad
218,218.0,ApeGang #9792,Orange Striped T-Shirt,,,Brown,Tongue Out,Scar
226,226.0,ApeGang #9784,Space Suit,,,Brown,Covid Mask,Alien
227,227.0,ApeGang #9783,Winter Coat,,Horn,Strong Dark Brown,Nose Ring,
228,228.0,ApeGang #9782,Winter Coat,,,Brown,Oh,Crazy
229,229.0,ApeGang #9781,Prison Jumpsuit,,Groom,Brown,,Heart
231,231.0,ApeGang #9779,Black Suit,Diamond Stud,,Grey,Angry,
232,232.0,ApeGang #9778,Fireman,,,Strong Dark Brown,Drool Rainbow,Eye Patch
236,236.0,ApeGang #9774,Batman,,Banana,Brown,,Black Sunglasses
237,237.0,ApeGang #9773,Toga,Gold Hoop,Cowboy,Strong Dark Brown,,
239,239.0,ApeGang #9771,,Bluetooth Earpiece,,Tiger,Grillz,Black Sunglasses
240,240.0,ApeGang #9770,Pirate,,Chef's,Brown,Corn,
241,241.0,ApeGang #9769,Mexican,,Laurel,Grey,Smoke Pipe,
242,242.0,ApeGang #9768,,,Nurse,Brown,Shocked,Round Glasses
243,243.0,ApeGang #9767,Red NBA Jersey,,,Tiger,Snake,Crazy
245,245.0,ApeGang #9765,Angel Wings,,Red NBA Headband,Cream,Angry,
249,249.0,ApeGang #9761,Cop,,Nurse,Rainbow,Flames,
251,251.0,ApeGang #9759,,Bluetooth Earpiece,,Brown,Grin Rainbow,Black Sunglasses
252,252.0,ApeGang #9758,Purple Hoodie,,Top Hat,Cream,,Scar
254,254.0,ApeGang #9756,,Diamond Stud,Banana,Strong Dark Brown,,Closed
256,256.0,ApeGang #9754,Purple Hoodie,,Green Beanie,Brown,Grin Rainbow,
257,257.0,ApeGang #9753,Black Tank Top,,Stuntman Helmet,Cream,Oh,
258,258.0,ApeGang #9752,Mexican,,Top Hat,Brown,Joint,
260,260.0,ApeGang #9750,Hippie,,,Grey,Tongue Out,Alien
261,261.0,ApeGang #9749,Pimp Coat,Diamond Stud,,Tiger,,Robot Glasses
262,262.0,ApeGang #9748,Orange Striped T-Shirt,,,Brown,Corn,Closed
264,264.0,ApeGang #9746,Iron Man,,Purple Beanie,Brown,Grin Rainbow,
267,267.0,ApeGang #9743,Pimp Coat,Bluetooth Earpiece,Banana,Brown,,
271,271.0,ApeGang #9739,Joker,Airpods,,Red Devil,,Diving Mask
