ape_id,Clothes,Ears,Hat,Fur,Mouth,Eyes
ApeGang #9190,Military,,Cop,Brown,Tongue Out,Hippie Glasses
ApeGang #9144,Banana Shirt,Bluetooth Earpiece,Cop,Brown,,Scar
ApeGang #6022,Military,,Fisherman,Brown,Tongue Out,Robot
ApeGang #9995,,Gold Hoop,Banana,Grey,Drool Rainbow,Gold Sunglasses
ApeGang #9994,,Bluetooth Earpiece,Purple Beanie,Brown,Joker,Monocle
ApeGang #9992,Red NBA Jersey,,Headphone,Cream,Oh,Eye Patch
ApeGang #9991,,Silver Hoop,Pirate,White,Cigarette,Gold Sunglasses
ApeGang #9990,Yellow NBA Jersey,,Hippie Bandana,Cream,Shocked,Robot Glasses
ApeGang #9988,Mexican,,Cowboy,Black,Bubble Gum,Crazy
ApeGang #9987,Orange Hawaiian Shirt ,Airpods,,Zebra,Beard,Heart
ApeGang #9985,Joker,,Sombrero,Grey,Grin Gold,Rainbow Sunglasses
ApeGang #9983,Prison Jumpsuit,,Bandana,Brown,Flames,Sad
ApeGang #9980,Sheriff,,Headphone,Black,Flames,Round Glasses
ApeGang #9979,Yellow NBA Jersey,,Headphone,Cream,Baby Pacifier,Black Sunglasses
ApeGang #9977,Banana Shirt,,Laurel,Brown,Angry,Sad
ApeGang #9973,Prison Jumpsuit,,Brown Beanie,Brown,Grillz,Gold Sunglasses
ApeGang #9970,,Silver Hoop,Brown Beanie,Black,Beard,High
ApeGang #9966,Mexican,,Crown,Brown,Beard,Black Sunglasses
ApeGang #9964,Yellow NBA Jersey,,Fisherman,Brown,Grin Gold,Alien
ApeGang #9961,,Airpods,Yellow NBA Headband,Grey,Angry,Black Sunglasses
ApeGang #9952,Yellow NBA Jersey,Silver Hoop,Rabbit Ears,Brown,Smoke Pipe,
ApeGang #9946,Pirate,,Yellow NBA Headband,Tiger,Beard,Heart
ApeGang #9939,Sheriff,,Top Hat,Brown,Snake,Gold Sunglasses
ApeGang #9937,,Bluetooth Earpiece,Banana,Brown,Snake,Bruised
ApeGang #9936,Pirate,,Red NBA Headband,Grey,Grin Rainbow,Gold Sunglasses
ApeGang #9934,Orange Hawaiian Shirt ,,Magician,Brown,Flames,Albino
ApeGang #9931,Pimp Coat,Bluetooth Earpiece,Nurse,Brown,Grillz,
ApeGang #9928,Blue Hoodie,Silver Hoop,Brown Beanie,Black,Nose Ring,
ApeGang #9924,Black Tank Top,,Viking Helmet,Brown,Shocked,Robot
ApeGang #9921,Indian,Diamond Stud,Viking Helmet,Grey,Tongue Out,
ApeGang #9920,Sheriff,Gold Hoop,,Black,Joint,Crazy
