ape_id,Clothes,Ears,Hat,Fur,Mouth,Eyes
ApeGang #6247,,,,Strong Dark Brown,Tongue Out,
ApeGang #6241,,,,Cream,,Robot Glasses
ApeGang #6238,,,Military Helmet,Brown,,
ApeGang #6204,,Airpods,,Cheetah,,
ApeGang #6200,Hippie,,,Black,,
ApeGang #6169,Hotel Porter,,,Red Devil,,
ApeGang #6113,Nurse,,,Rainbow,,
ApeGang #6085,,,,Brown,Tongue Out,
ApeGang #6062,,,Horn,White,,
ApeGang #6057,,,,Zebra,,Heart
ApeGang #6051,,,War Bonnet,Tiger,,
ApeGang #5990,,,,Black,,Eye Patch
ApeGang #5981,Lab Coat,,,Cream,,
ApeGang #5905,Black Tank Top,,,Zebra,,
ApeGang #5872,,,Cowboy,Cheetah,,
ApeGang #5824,,,,Brown,,Devil
ApeGang #5808,Mexican,,,Black,,
ApeGang #5686,,,,Tiger,,Gold Sunglasses
ApeGang #5661,,,,Brown,,Diving Mask
ApeGang #5648,,,Nurse,Brown,,
ApeGang #5608,White Tank Top,,,Black,,
ApeGang #5571,,,,Rainbow,,Bruised
ApeGang #5564,Pimp Coat,,,Black,,
ApeGang #5480,,,,Grey,Smoke Pipe,
ApeGang #5412,,Diamond Stud,,White,,
ApeGang #5352,Banana Shirt,,,Brown,,
ApeGang #5336,,,Brown Beanie,Tiger,,
ApeGang #5118,,,,Brown,,Blind
ApeGang #5095,Orange Hawaiian Shirt ,,,Strong Dark Brown,,
ApeGang #5092,,,,Brown,Grin Rainbow,
ApeGang #5088,,,,Strong Dark Brown,,Eye Patch
ApeGang #5063,,,,Grey,,Robot
ApeGang #5026,,,,Black,,Diving Mask
ApeGang #4975,Hippie,,,Grey,,
ApeGang #4957,,,,Black,Oh,
ApeGang #4956,Nurse,,,Strong Dark Brown,,
ApeGang #4841,,,,Brown,,Bruised
ApeGang #4809,Groom,,,Black,,
ApeGang #4775,,,,Brown,Bubble Gum,
ApeGang #4750,,,Halo,Brown,,
ApeGang #4741,,Silver Hoop,,Brown,,
ApeGang #4676,,,,White,,Closed
ApeGang #4661,,,,Zebra,Shocked,
ApeGang #4622,,,,Black,,Gold Sunglasses
ApeGang #4615,,,,Cream,Grillz,
ApeGang #4605,,,,Black,Mustache,
ApeGang #4598,,,,Tiger,Smoke Pipe,
ApeGang #4536,Pimp Coat,,,Cheetah,,
ApeGang #4532,,,,Brown,Cigarette,
ApeGang #4503,,,Party,Strong Dark Brown,,
ApeGang #4346,,,,Rainbow,,Gold Sunglasses
ApeGang #4343,Nurse,,,Black,,
ApeGang #4321,Magician,,,Brown,,
ApeGang #4295,,,,Grey,Flames,
ApeGang #4292,Grey Striped T-Shirt,,,Zebra,,
ApeGang #4276,,,,Grey,,Sad
ApeGang #4260,Fireman,,,Tiger,,
ApeGang #4229,,,,Cream,,Monocle
ApeGang #4225,,,Bandana,Brown,,
ApeGang #4181,,,,Brown,,Squinting
ApeGang #4176,,,,Strong Dark Brown,Beard,
ApeGang #4168,,,Crown,Black,,
ApeGang #4167,,Silver Hoop,,Cream,,
ApeGang #4150,,Silver Hoop,,White,,
ApeGang #4125,,,,Brown,Grillz,
ApeGang #4037,Indian,,,Zebra,,
ApeGang #4006,,,Groom,Strong Dark Brown,,
ApeGang #3999,,,Borsalino,Brown,,
ApeGang #3976,Mexican,,,Brown,,
ApeGang #3970,,,,Brown,,Gold Sunglasses
ApeGang #3949,Orange Hawaiian Shirt ,,,Brown,,
ApeGang #3931,,,,Strong Dark Brown,,Rainbow Sunglasses
ApeGang #3925,,,,Grey,Nose Ring,
ApeGang #3924,,,,Strong Dark Brown,Joint,
ApeGang #3904,,,Cowboy,Brown,,
ApeGang #3903,Hotel Porter,,,White,,
ApeGang #3878,,,,Rainbow,,Monocle
ApeGang #3864,,,,Strong Dark Brown,,Black Sunglasses
ApeGang #3801,,,Horn,Black,,
ApeGang #3775,,,Green Beanie,Brown,,
ApeGang #3760,Pirate,,,Brown,,
ApeGang #3745,Batman,,,Tiger,,
ApeGang #3741,Lab Coat,,,Grey,,
ApeGang #3718,,,,Grey,Cigarette,
ApeGang #3645,,,War Bonnet,Black,,
ApeGang #3613,Military,,,Strong Dark Brown,,
ApeGang #3583,,,Fireman,Black,,
ApeGang #3540,,,,Brown,,Crazy
ApeGang #3510,,,,Grey,,High
ApeGang #3457,,,,Cheetah,Beard,
ApeGang #3365,,,,Strong Dark Brown,Joker,
ApeGang #3336,,,Brown Beanie,Black,,
ApeGang #3322,,,,Strong Dark Brown,,Heart
ApeGang #3285,,,,Strong Dark Brown,,Monocle
ApeGang #3267,,Gold Hoop,,Zebra,,
ApeGang #3234,,,,Grey,Joint,
ApeGang #3223,Red Hawaiian Shirt,,,Zebra,,
ApeGang #3220,,Bluetooth Earpiece,,Black,,
ApeGang #3213,,,,Grey,Grin Rainbow,
ApeGang #3199,,,,Brown,,Black Sunglasses
ApeGang #3195,,,Party,Tiger,,
ApeGang #3175,,,,Black,,Monocle
ApeGang #3146,,,,Brown,Shocked,
ApeGang #3140,Batman,,,Brown,,
ApeGang #3084,,,Stuntman Helmet,Cream,,
ApeGang #3000,,,,White,,Monocle
ApeGang #2998,,Diamond Stud,,Brown,,
ApeGang #2928,,,,Black,Tongue Out,
ApeGang #2883,,,,Red Devil,Joint,
ApeGang #2864,,,,Black,Flames,
ApeGang #276,,Airpods,,Brown,,
ApeGang #2803,Magician,,,Strong Dark Brown,,
ApeGang #2800,,,Brown Beanie,Brown,,
ApeGang #2763,,,,Tiger,Corn,
ApeGang #2758,,,,Brown,,Strabismus
ApeGang #2747,,,Chef's,Brown,,
ApeGang #2741,,,,Cream,Yawn,
ApeGang #2739,,Gold Hoop,,Strong Dark Brown,,
ApeGang #2700,,,Pirate,Strong Dark Brown,,
ApeGang #2643,,,,Cream,,Squinting
ApeGang #2620,,,,Cheetah,,Scar
ApeGang #2586,Blue Hoodie,,,Grey,,
ApeGang #2579,Black Tank Top,,,Brown,,
ApeGang #2551,Sheriff,,,Brown,,
ApeGang #2533,,,,Tiger,Joint,
ApeGang #2464,,,Hippie Bandana,Brown,,
ApeGang #2456,,,Viking Helmet,Black,,
ApeGang #2447,,,Horn,Brown,,
ApeGang #2367,Hippie,,,Brown,,
ApeGang #2344,,,Viking Helmet,Grey,,
ApeGang #2329,,,,Brown,,High
ApeGang #2325,Iron Man,,,Brown,,
ApeGang #2314,,,,Grey,Angry,
ApeGang #2224,,,,Strong Dark Brown,Shocked,
ApeGang #2211,,,,Zebra,Grillz,
ApeGang #2175,,,,Tiger,Grin Rainbow,
ApeGang #2156,,,Hotel Porter,Brown,,
ApeGang #2152,Nurse,,,Brown,,
ApeGang #2141,Winter Coat,,,White,,
ApeGang #2118,,,,Tiger,,Squinting
ApeGang #2087,Orange Striped T-Shirt,,,Black,,
ApeGang #2076,,,Hotel Porter,Strong Dark Brown,,
ApeGang #2072,White Tank Top,,,Brown,,
ApeGang #2070,,,,Tiger,,Laser
ApeGang #2066,Purple Hoodie,,,Brown,,
ApeGang #2048,Blue Hoodie,,,Cream,,
ApeGang #2016,,,,Strong Dark Brown,Baby Pacifier,
ApeGang #1991,,,Groom,Brown,,
ApeGang #1971,,,,Brown,Joker,
ApeGang #1956,Cop,,,Grey,,
ApeGang #1945,,,,Brown,Snake,
ApeGang #1912,,,Purple Beanie,Black,,
ApeGang #1904,,,,Grey,,Rainbow Sunglasses
ApeGang #1866,,,,Cream,Cigarette,
ApeGang #1810,Black Tank Top,,,White,,
ApeGang #1798,,,,Grey,,Eye Patch
ApeGang #1794,,,,Brown,Grin Gold,
ApeGang #1772,,,War Bonnet,Strong Dark Brown,,
ApeGang #1771,,,Sushi Chef,Brown,,
ApeGang #1756,,,Iron Man,Brown,,
ApeGang #1736,,,Fireman,Brown,,
ApeGang #1715,,,Cop,Brown,,
ApeGang #1664,,,Stuntman Helmet,Brown,,
ApeGang #1655,,,Batman,Black,,
ApeGang #1649,Joker,,,Brown,,
ApeGang #1628,,,,Rainbow,,Crazy
ApeGang #1607,,,,Brown,Flames,
ApeGang #1587,Pimp Coat,,,Strong Dark Brown,,
ApeGang #1548,,,,Black,,Round Glasses
ApeGang #1544,,,,Brown,,Hippie Glasses
ApeGang #1526,,Silver Hoop,,Black,,
ApeGang #1525,,,,Red Devil,,3D Glasses
ApeGang #1513,,,,Brown,Corn,
ApeGang #1475,Magician,,,Grey,,
ApeGang #1465,,,,Cream,Covid Mask,
ApeGang #1453,,,,Brown,Joint,
ApeGang #1450,Pimp Coat,,,Red Devil,,
ApeGang #1383,,,,Rainbow,Drool Rainbow,
ApeGang #1369,,,,Brown,Beard,
ApeGang #1346,,,War Bonnet,Brown,,
ApeGang #1326,Hotel Porter,,,Brown,,
ApeGang #1306,Indian,,,Brown,,
ApeGang #1298,,,,Zebra,,Bruised
ApeGang #1297,,,,White,,Diving Mask
ApeGang #1276,Sheriff,,,Cream,,
ApeGang #1255,,,,Brown,Covid Mask,
ApeGang #1230,,,,Black,Joker,
ApeGang #1221,,Airpods,,Grey,,
ApeGang #1212,Yellow NBA Jersey,,,Cream,,
ApeGang #1201,,,Fisherman,Brown,,
ApeGang #1195,,,,Zebra,Nose Ring,
ApeGang #1184,,,Laurel,Black,,
ApeGang #1182,,,Laurel,Brown,,
ApeGang #1169,,,,Grey,Corn,
ApeGang #1161,,,Top Hat,Black,,
ApeGang #1134,,,,White,,3D Glasses
ApeGang #1127,,,,Brown,,Scar
ApeGang #1117,Hotel Porter,,,Cream,,
ApeGang #1108,,,,Black,Cigarette,
