ape_id,Clothes,Ears,Hat,Fur,Mouth,Eyes,Sum Rarity,Mean Rarity
ApeGang #9190,Military,,Cop,Brown,Tongue Out,Hippie Glasses,50.95,12.7375
ApeGang #9144,Banana Shirt,Bluetooth Earpiece,Cop,Brown,,Scar,47.85,15.950000000000001
ApeGang #6022,Military,,Fisherman,Brown,Tongue Out,Robot,50.22999999999999,12.557499999999997
ApeGang #9995,,Gold Hoop,Banana,Grey,Drool Rainbow,Gold Sunglasses,17.84,4.46
ApeGang #9994,,Bluetooth Earpiece,Purple Beanie,Brown,Joker,Monocle,49.13,12.2825
ApeGang #9992,Red NBA Jersey,,Headphone,Cream,Oh,Eye Patch,16.67,4.1675
ApeGang #9991,,Silver Hoop,Pirate,White,Cigarette,Gold Sunglasses,13.580000000000002,3.3950000000000005
ApeGang #9990,Yellow NBA Jersey,,Hippie Bandana,Cream,Shocked,Robot Glasses,15.930000000000001,3.9825000000000004
ApeGang #9988,Mexican,,Cowboy,Black,Bubble Gum,Crazy,16.78,4.195
ApeGang #9987,Orange Hawaiian Shirt ,Airpods,,Zebra,Beard,Heart,11.2,3.733333333333333
ApeGang #9985,Joker,,Sombrero,Grey,Grin Gold,Rainbow Sunglasses,14.85,3.7125
ApeGang #9983,Prison Jumpsuit,,Bandana,Brown,Flames,Sad,50.919999999999995,12.729999999999999
ApeGang #9980,Sheriff,,Headphone,Black,Flames,Round Glasses,17.57,4.3925
ApeGang #9979,Yellow NBA Jersey,,Headphone,Cream,Baby Pacifier,Black Sunglasses,18.35,4.5875
ApeGang #9977,Banana Shirt,,Laurel,Brown,Angry,Sad,50.83,12.7075
ApeGang #9973,Prison Jumpsuit,,Brown Beanie,Brown,Grillz,Gold Sunglasses,52.79,13.1975
ApeGang #9970,,Silver Hoop,Brown Beanie,Black,Beard,High,15.120000000000001,3.7800000000000002
ApeGang #9966,Mexican,,Crown,Brown,Beard,Black Sunglasses,51.94,12.985
ApeGang #9964,Yellow NBA Jersey,,Fisherman,Brown,Grin Gold,Alien,49.17,12.2925
ApeGang #9961,,Airpods,Yellow NBA Headband,Grey,Angry,Black Sunglasses,17.63,4.4075
ApeGang #9952,Yellow NBA Jersey,Silver Hoop,Rabbit Ears,Brown,Smoke Pipe,,47.44,15.813333333333333
ApeGang #9946,Pirate,,Yellow NBA Headband,Tiger,Beard,Heart,13.42,3.355
ApeGang #9939,Sheriff,,Top Hat,Brown,Snake,Gold Sunglasses,52.12,13.03
ApeGang #9937,,Bluetooth Earpiece,Banana,Brown,Snake,Bruised,50.9,12.725
ApeGang #9936,Pirate,,Red NBA Headband,Grey,Grin Rainbow,Gold Sunglasses,18.15,4.5375
ApeGang #9934,Orange Hawaiian Shirt ,,Magician,Brown,Flames,Albino,49.67,12.4175
ApeGang #9931,Pimp Coat,Bluetooth Earpiece,Nurse,Brown,Grillz,,48.05,16.016666666666666
ApeGang #9928,Blue Hoodie,Silver Hoop,Brown Beanie,Black,Nose Ring,,13.73,4.576666666666667
ApeGang #9924,Black Tank Top,,Viking Helmet,Brown,Shocked,Robot,50.129999999999995,12.532499999999999
ApeGang #9921,Indian,Diamond Stud,Viking Helmet,Grey,Tongue Out,,13.18,4.3933333333333335
ApeGang #9920,Sheriff,Gold Hoop,,Black,Joint,Crazy,15.39,5.13
ApeGang #9918,,Bluetooth Earpiece,Laurel,Brown,Shocked,Hippie Glasses,51.099999999999994,12.774999999999999
ApeGang #9913,Iron Man,Gold Hoop,,Grey,Beard,Hippie Glasses,14.65,4.883333333333334
ApeGang #9910,,Diamond Stud,Red NBA Headband,Red Devil,Drool Rainbow,Crazy,10.36,2.59
ApeGang #9909,,Diamond Stud,Yellow NBA Headband,Brown,Grin Rainbow,Cyclops,49.39,12.3475
ApeGang #9908,Pimp Coat,,Banana,Tiger,Angry,Bruised,13.43,3.3575
ApeGang #9888,Nurse,,Crown,Brown,Nose Ring,High,48.98,12.245
ApeGang #9882,Black Tank Top,,Brain,Tiger,Snake,Devil,12.190000000000001,3.0475000000000003
ApeGang #9881,,Gold Hoop,Halo,Brown,Smoke Pipe,Gold Sunglasses,51.98,12.995
ApeGang #9877,Blue Hoodie,,Hippie Bandana,Strong Dark Brown,Baby Pacifier,Bruised,19.6,4.9
ApeGang #9875,Sheriff,Bluetooth Earpiece,Purple Beanie,Brown,Bubble Gum,,46.82,15.606666666666667
ApeGang #9860,Magician,Bluetooth Earpiece,Magician,Brown,,Crazy,48.02,16.006666666666668
ApeGang #9857,Hippie,,Top Hat,Ghost,Mustache,Heart,8.07,2.0175
ApeGang #9851,Purple Hoodie,,Crown,Grey,Yawn,Gold Sunglasses,18.040000000000003,4.510000000000001
ApeGang #9850,Toga,Diamond Stud,,Brown,Drool Rainbow,Gold Sunglasses,50.4,16.8
ApeGang #9847,Mexican,,Borsalino,Brown,Corn,3D Glasses,50.94,12.735
ApeGang #9845,Orange Striped T-Shirt,,Rabbit Ears,Brown,Cigarette,Gold Sunglasses,52.27,13.0675
ApeGang #9844,Fireman,,Top Hat,Brown,Grillz,Hippie Glasses,51.3,12.825
ApeGang #9838,Orange Hawaiian Shirt ,Gold Hoop,Brain,Brown,Joker,,46.23,15.409999999999998
ApeGang #9833,Prison Jumpsuit,,Cop,White,Snake,3D Glasses,12.42,3.105
ApeGang #9830,,Airpods,Fisherman,Zebra,Beard,Albino,11.579999999999998,2.8949999999999996
ApeGang #9829,Black Tank Top,,Propeller,Tiger,Tongue Out,Gold Sunglasses,14.879999999999999,3.7199999999999998
ApeGang #9828,Magician,,Pirate,Brown,Bubble Gum,Sad,50.06999999999999,12.517499999999998
ApeGang #9827,White Tank Top,,Green Beanie,Black,Grin Gold,Eye Patch,16.79,4.1975
ApeGang #9821,Space Suit,,Halo,Brown,Corn,Robot Glasses,49.91,12.4775
ApeGang #9818,Grey Striped T-Shirt,,Cowboy,Strong Dark Brown,Shocked,Gold Sunglasses,20.68,5.17
ApeGang #9811,Joker,,Bandana,Brown,Flames,Squinting,49.3,12.325
ApeGang #9807,Hotel Porter,Gold Hoop,Cop,Strong Dark Brown,,Scar,16.38,5.46
ApeGang #9806,Black Tank Top,,War Bonnet,Rainbow,Drool Rainbow,3D Glasses,10.1,2.525
ApeGang #9805,,Gold Hoop,Laurel,Red Devil,Joker,Hippie Glasses,8.83,2.2075
ApeGang #9804,Sheriff,,Magician,Tiger,Flames,Bruised,14.16,3.54
ApeGang #9800,Groom,,Crown,White,Smoke Pipe,Black Sunglasses,13.55,3.3875
ApeGang #9799,Pirate,Silver Hoop,,Rainbow,Drool Rainbow,Albino,6.91,2.3033333333333332
ApeGang #9791,Joker,,Cop,Brown,Bubble Gum,Monocle,50.58,12.645
ApeGang #9790,Cop,,Flower Crown,Brown,Nose Ring,Black Sunglasses,52.12,13.03
ApeGang #9789,Yellow NBA Jersey,,Magician,Brown,Flames,Albino,49.67,12.4175
ApeGang #9786,Magician,,Halo,Strong Dark Brown,Joker,Devil,16.03,4.0075
ApeGang #9780,Joker,,Yellow NBA Headband,Tiger,Mustache,Heart,13.35,3.3375
ApeGang #9775,White Tank Top,,Viking Helmet,Grey,Tongue Out,Robot,15.84,3.96
ApeGang #9772,Cop,,Brown Beanie,Brown,Nose Ring,High,48.959999999999994,12.239999999999998
