ape_id,Clothes,Ears,Hat,Fur,Mouth,Eyes,Sum Rarity,Mean Rarity
ApeGang #9169,Blue Hoodie,Airpods,Cap,Brown,Baby Pacifier,Hippie Glasses,50.959999999999994,12.739999999999998
ApeGang #9162,Mexican,Airpods,Banana,Black,Nose Ring,Heart,16.88,4.22
ApeGang #9138,Red Hawaiian Shirt,Bluetooth Earpiece,Brain,Strong Dark Brown,Smoke Pipe,Black Sunglasses,20.69,5.1725
ApeGang #9127,Fireman,Gold Hoop,Cop,Brown,Covid Mask,Round Glasses,50.76,12.69
ApeGang #9114,Hotel Porter,Bluetooth Earpiece,Groom,Zebra,Snake,Hippie Glasses,13.32,3.33
ApeGang #9096,Winter Coat,Gold Hoop,Hippie Bandana,Brown,Grin Rainbow,Gold Sunglasses,52.230000000000004,13.057500000000001
ApeGang #9094,Red Hawaiian Shirt,Airpods,Sombrero,Grey,Grin Gold,Closed,16.11,4.0275
ApeGang #9092,Toga,Gold Hoop,Chef's,Brown,Covid Mask,Monocle,50.61,12.6525
ApeGang #9049,Batman,Airpods,Halo,Brown,Corn,Heart,50.71999999999999,12.679999999999998
ApeGang #8987,Black Tank Top,Silver Hoop,Sushi Chef,Brown,Snake,Bruised,50.99,12.7475
ApeGang #8980,Cop,Silver Hoop,Flower Crown,Grey,Drool Rainbow,Devil,15.02,3.755
ApeGang #8972,Black Tank Top,Bluetooth Earpiece,Sushi Chef,White,Flames,Round Glasses,12.719999999999999,3.1799999999999997
ApeGang #8946,Hotel Porter,Airpods,Crown,Strong Dark Brown,Flames,Eye Patch,19.62,4.905
ApeGang #8938,Batman,Bluetooth Earpiece,Chef's,Red Devil,Yawn,Albino,8.49,2.1225
ApeGang #8931,Yellow NBA Jersey,Silver Hoop,Nurse,Brown,Yawn,Crazy,51.019999999999996,12.754999999999999
ApeGang #8918,Hotel Porter,Airpods,War Bonnet,Strong Dark Brown,Smoke Pipe,Black Sunglasses,20.34,5.085
ApeGang #8885,Iron Man,Airpods,Groom,Brown,Smoke Pipe,Rainbow Sunglasses,49.099999999999994,12.274999999999999
ApeGang #8856,Magician,Airpods,Bandana,Grey,Beard,Strabismus,14.59,3.6475
