ape_id,Clothes,Ears,Hat,Fur,Mouth,Eyes,Sum Rarity,Mean Rarity
ApeGang #9152,,,Red NBA Headband,Brown,Bubble Gum,,47.25,15.75
ApeGang #9132,Purple Hoodie,,Green Beanie,Brown,,,44.089999999999996,22.044999999999998
ApeGang #9998,Winter Coat,Silver Hoop,,Brown,,,42.43,42.43
ApeGang #9993,,,Fireman,Brown,Flames,,47.209999999999994,15.736666666666665
ApeGang #9971,,,War Bonnet,Zebra,,Gold Sunglasses,11.259999999999998,3.7533333333333325
ApeGang #9967,Hippie,,,Brown,,Scar,45.9,22.95
ApeGang #9965,,,Flower Crown,Cream,Grillz,,14.21,4.736666666666667
ApeGang #9958,,Gold Hoop,Yellow NBA Headband,Brown,,,44.29,22.145
ApeGang #9956,,,Propeller,Brown,,Squinting,45.87,15.29
ApeGang #9955,Lumberjack,,Brown Beanie,Brown,,,44.3,22.15
ApeGang #9945,,,War Bonnet,Cream,Grillz,,13.970000000000002,4.656666666666667
ApeGang #9938,Pirate,,,Strong Dark Brown,,Strabismus,12.450000000000001,6.2250000000000005
ApeGang #9932,,,Viking Helmet,White,,Black Sunglasses,10.42,3.473333333333333
ApeGang #9930,Orange Striped T-Shirt,,Banana,Brown,,,44.15,22.075
ApeGang #9927,,,Yellow NBA Headband,Brown,,Strabismus,45.78,15.26
ApeGang #9923,,,Yellow NBA Headband,Brown,Angry,,47.379999999999995,15.793333333333331
ApeGang #9922,,,,White,Drool Rainbow,Round Glasses,10.759999999999998,3.586666666666666
ApeGang #9916,Sheriff,,,Brown,,Devil,44.06,22.03
ApeGang #9906,Sheriff,,,Brown,,Gold Sunglasses,47.14,23.57
ApeGang #9903,White Tank Top,,,White,,Heart,7.32,3.66
ApeGang #9899,Hotel Porter,,,Cheetah,,Heart,6.24,3.12
ApeGang #9893,,,Military Helmet,Zebra,,Bruised,10.04,3.3466666666666662
ApeGang #9889,,,,Brown,Grin Gold,Sad,48.739999999999995,16.246666666666666
ApeGang #9886,Devil Wings,,,Brown,,Monocle,45.83,22.915
ApeGang #9880,,,Sushi Chef,Brown,Tongue Out,,47.400000000000006,15.800000000000002
ApeGang #9874,Magician,,,Brown,,Strabismus,43.92,21.96
ApeGang #9873,Banana Shirt,,Fireman,Brown,,,43.8,21.9
ApeGang #9870,Hotel Porter,,,Brown,Grin Rainbow,,45.7,22.85
ApeGang #9865,,,Magician,Cheetah,,Robot,7.73,2.5766666666666667
ApeGang #9863,,,Yellow NBA Headband,Brown,,Closed,47.31,15.770000000000001
ApeGang #9862,Military,,,Cream,,Sad,11.670000000000002,5.835000000000001
ApeGang #9859,,,Fisherman,Cream,Mustache,,13.450000000000001,4.483333333333333
ApeGang #9852,Orange Striped T-Shirt,,,Brown,Grin Gold,,45.519999999999996,22.759999999999998
ApeGang #9848,Black Tank Top,,Red NBA Headband,Cheetah,,,4.96,2.48
ApeGang #9826,Lumberjack,,Hippie Bandana,Cream,,,10.270000000000001,5.135000000000001
ApeGang #9824,,,Fisherman,Strong Dark Brown,Bubble Gum,,15.740000000000002,5.246666666666667
ApeGang #9822,,,Magician,Brown,Oh,,47.42,15.806666666666667
ApeGang #9817,Hippie,,,Brown,,Robot,45.089999999999996,22.544999999999998
ApeGang #9816,,Airpods,,Strong Dark Brown,Grin Rainbow,,14.23,7.115
ApeGang #9814,,,War Bonnet,White,Mustache,,8.78,2.9266666666666663
ApeGang #9813,Military,,Fireman,Zebra,,,6.18,3.09
ApeGang #9809,Cop,,Red NBA Headband,Strong Dark Brown,,,12.98,6.49
ApeGang #9808,,,Halo,Cream,Corn,,13.440000000000001,4.48
ApeGang #9802,White Tank Top,,,Brown,Joker,,44.14,22.07
ApeGang #9798,,Silver Hoop,Sushi Chef,Brown,,,44.24,22.12
ApeGang #9797,,,Propeller,Grey,Cigarette,,13.22,4.406666666666667
ApeGang #9788,Red NBA Jersey,,,Strong Dark Brown,Grillz,,14.740000000000002,7.370000000000001
ApeGang #9787,,,Fisherman,Grey,Smoke Pipe,,13.24,4.413333333333333
ApeGang #9777,,,,Tiger,Mustache,Eye Patch,11.549999999999999,3.8499999999999996
ApeGang #9776,,,,Brown,Yawn,Devil,47.35,15.783333333333333
ApeGang #9766,Toga,,,Brown,Beard,,45.519999999999996,22.759999999999998
ApeGang #9763,Banana Shirt,,,Brown,,Monocle,45.83,22.915
ApeGang #9742,Iron Man,,Horn,Brown,,,44.26,22.13
ApeGang #9741,,,Party,Brown,,Crazy,47.69,15.896666666666667
ApeGang #9738,Fireman,,,Cream,,Scar,11.920000000000002,5.960000000000001
ApeGang #9733,Iron Man,,,Brown,,Rainbow Sunglasses,44.19,22.095
ApeGang #9731,Prison Jumpsuit,,,Grey,,Sad,11.370000000000001,5.6850000000000005
ApeGang #9723,,,Military Helmet,Black,,Hippie Glasses,13.87,4.623333333333333
ApeGang #9717,Orange Hawaiian Shirt ,,,Zebra,,Eye Patch,8.17,4.085
ApeGang #9715,,,Flower Crown,Grey,Flames,,13.540000000000001,4.513333333333334
ApeGang #9711,Prison Jumpsuit,,,Tiger,,Heart,8.47,4.235
ApeGang #9710,,,Borsalino,Black,,Laser,12.45,4.1499999999999995
ApeGang #9704,Mexican,,Fireman,Zebra,,,6.18,3.09
ApeGang #9702,Pimp Coat,,Halo,Rainbow,,,3.6799999999999997,1.8399999999999999
ApeGang #9700,Iron Man,,,Brown,,Hippie Glasses,45.839999999999996,22.919999999999998
ApeGang #9699,Black Tank Top,,,Black,,Alien,10.35,5.175
ApeGang #9698,,,Chef's,Brown,Bubble Gum,,47.11,15.703333333333333
ApeGang #9694,Orange Hawaiian Shirt ,Silver Hoop,,Cheetah,,,2.94,2.94
ApeGang #9687,,,Hotel Porter,Brown,Covid Mask,,46.97,15.656666666666666
ApeGang #9685,Hotel Porter,,,Brown,,Monocle,45.83,22.915
ApeGang #9681,,,Pirate,Red Devil,,Scar,6.71,2.236666666666667
ApeGang #9679,,,Yellow NBA Headband,Black,,Devil,12.169999999999998,4.056666666666666
ApeGang #9671,Orange Striped T-Shirt,,Sombrero,Brown,,,44.28,22.14
ApeGang #9666,Orange Hawaiian Shirt ,,Rabbit Ears,Cheetah,,,4.84,2.42
ApeGang #9657,Pimp Coat,,,Brown,,Crazy,45.89,22.945
ApeGang #9652,,,,Cream,Oh,3D Glasses,14.46,4.82
ApeGang #9650,Mexican,,,Grey,,Closed,11.17,5.585
ApeGang #9649,,,Headphone,White,Snake,,9.32,3.106666666666667
ApeGang #9638,,Bluetooth Earpiece,Rabbit Ears,Black,,,10.58,5.29
ApeGang #9635,Pimp Coat,,,Zebra,,Gold Sunglasses,9.52,4.76
ApeGang #9631,,,Sombrero,Black,,Cyclops,12.36,4.12
ApeGang #9626,,,,White,Flames,Gold Sunglasses,12.14,4.046666666666667
ApeGang #9622,,,Nurse,Brown,,Round Glasses,47.74999999999999,15.916666666666664
ApeGang #9611,,,,Strong Dark Brown,Mustache,Alien,15.65,5.216666666666667
ApeGang #9610,,Silver Hoop,,Brown,Oh,,45.29,22.645
