,sale_id,ape_id,sale_price,sale_time,seller_name,seller_wallet,buyer_name,buyer_wallet
0,604672692,ApeGang #329,0.1,2021-08-22T20:59:38.830068,,0x0c8298faa3c7972b6ce9896c1e596f7f36bdb728,,0x822aeaf8b9ab68ddff6c01e57410b7f7f2b36703
0,604430095,ApeGang #3003,0.123,2021-08-22T20:32:20.652518,,0x4989b726e1ae43976c645711b137f6abe1572472,,0x049004379140845ede3865d6d06552641453ffe6
0,604064111,ApeGang #6228,0.09,2021-08-22T19:55:44.345767,,0xf4db77a638558a36b0d3c2e14ec9ae9bafee8295,theWesterner,0xc9d25b9a3496c776688833d6ccfe507ef4f41645
0,603962081,ApeGang #5726,0.07,2021-08-22T19:43:25.363183,,0x7e9e46d0bb5a31c56ed1adbadf42d9f021676a42,UnicityArt,0x891f9926f370c00e61dc9d2b9d4a1fc282a0b48d
0,603949840,ApeGang #768,0.09,2021-08-22T19:41:51.432501,,0xff7408661302d0c07578e4ca48fc433910f87b25,ThankQ,0x0d8c6ba38807429f68a3554139b4edfb4a33c638
0,603742423,ApeGang #1399,0.08,2021-08-22T19:20:14.180920,,0xb43ca57e0093f1d0298e9eeb472dc9c9e03a92ac,curhetted,0x0779e016d314024f36db0e941e8a3168192074c4
0,603599214,ApeGang #7001,0.095,2021-08-22T19:07:20.489486,,0x0349234eef4c8b03f2940dc15cc2f3d281c61f8c,lostmod,0x828ef26d34c64a6210ed38b8807805312fc8c9fd
0,603456993,ApeGang #1977,0.065,2021-08-22T18:52:39.691242,,0x58d2868e552c71e2828b37c704036ae4ba5a0ad8,Ajscrilla,0x90682a5165f0229169909f667dacfa36381341ee
0,603407820,ApeGang #6618,0.08,2021-08-22T18:47:41.780665,,0x0bcb60b9492169d100c4e68e2ff69879a9756e8d,MarcusP214,0x593a8e801d2261e1e25b99683fe4c79fb1b17af0
0,603295604,ApeGang #9776,0.08,2021-08-22T18:37:15.637162,,0x9440505f4d2a69f3b4d2e90c9bcc51e526bd7574,0x29a0,0x42b576bfe9926537cec4a83f141a9204a3f929a0
0,603191660,ApeGang #2344,0.1333,2021-08-22T18:26:48.684936,,0xddeaec88e4a183f5acc7d7cfd6f69e300bb6d455,,0xda29308972b59b268641f507f4757f43c55884fd
0,603179972,ApeGang #8958,0.11,2021-08-22T18:25:42.295136,,0x5a2649285a7d26a6a0ca35708cd7638e9c29a3cb,,0xda29308972b59b268641f507f4757f43c55884fd
0,603179168,ApeGang #6351,0.0969,2021-08-22T18:25:38.200535,,0xac707ee01a605bfc712536d703e5e790357c48e5,,0xda29308972b59b268641f507f4757f43c55884fd
0,603179430,ApeGang #3760,0.088,2021-08-22T18:25:39.477267,,0x4dc0e2040bca9faccf5333e2cc765301f11f2a7b,,0xda29308972b59b268641f507f4757f43c55884fd
0,603135173,ApeGang #9802,0.088,2021-08-22T18:21:46.572272,,0x99f4f03f53dc5cb4a1bb01ebbe29a5a4104c1ead,,0xda29308972b59b268641f507f4757f43c55884fd
0,603133321,ApeGang #1125,0.079,2021-08-22T18:21:37.825425,,0x91a73bf600f409bba7bf7541b863b4437111f199,,0xda29308972b59b268641f507f4757f43c55884fd
0,603128828,ApeGang #1992,0.09,2021-08-22T18:21:16.151599,,0xd611f993d3f2985e50a1df9f881f21b62124e1cf,Bodoza88,0xe9b266216a22ca22bcfb8f1c1bd7d707b19bef58
0,603117994,ApeGang #2577,0.0748,2021-08-22T18:20:23.899244,,0x0ffae226b0d0565174f4bbda1edff63395939c9e,Ajscrilla,0x90682a5165f0229169909f667dacfa36381341ee
0,603114995,ApeGang #6762,0.35,2021-08-22T18:20:08.415467,,0x82b04eb793777a10de5e54b6235396e60d0e4b5f,,0xda29308972b59b268641f507f4757f43c55884fd
0,603105521,ApeGang #1935,0.11,2021-08-22T18:19:20.741312,,0x69983ca837e8895b6bc392c71664cde4ab93bdac,,0xda29308972b59b268641f507f4757f43c55884fd
0,603105657,ApeGang #9393,0.12,2021-08-22T18:19:21.505739,,0x514fc379b4ae674f74dac2a266aff608a9b6507f,,0xda29308972b59b268641f507f4757f43c55884fd
0,603105760,ApeGang #5110,0.1,2021-08-22T18:19:22.068535,,0x1a2be848d7958570966cc20b1c521d8945cda8c1,,0xda29308972b59b268641f507f4757f43c55884fd
0,603044284,ApeGang #728,0.0777,2021-08-22T18:13:57.168987,,0x9078a0ce313c6ecf06825e50115bb5354723f2c1,akasame,0xb2fb087fb3d402a69e55a473ec997d310fa336af
0,602887919,ApeGang #6110,0.05,2021-08-22T17:59:26.634570,,0x60acf8d95fd365122e56f414b2c13d9dc7742ad7,sadcolby,0x3ade3f238451a8595b5205ce5f16370d7bdbc8d5
0,602744968,ApeGang #1750,0.1,2021-08-22T17:45:07.490623,,0x03b2f2c415c8d09e8e1e100be8938e7dfa14f2c2,dingo10,0x38ba0b8607bb30a03007cc3dd35dca73f615b5e6
0,602746777,ApeGang #1485,0.08,2021-08-22T17:45:17.756314,,0x1af0bacfd6c032f4d2bf58b9f7d42e17d45491a3,VividColor,0xe7a9a2d373111ceba3a2203718cf4dc52ef6fe36
0,602661021,ApeGang #8862,0.08,2021-08-22T17:36:42.586722,,0x38542c3e4861df0efe2406dd6aeec28d53d509bd,cryptonick90,0x9ba48f6604f4855f0070c8b6ebdd9b81752c81aa
0,602657943,ApeGang #5482,0.085,2021-08-22T17:36:23.420609,,0x5076da1ab3472a1828ce921fc6a423c61576c8c6,,0x20eb02f3d6176e5933896785eaad9a209b9a341d
0,602633717,ApeGang #7725,0.075,2021-08-22T17:33:56.628869,,0x622094cc10650e71dbec9d28f15ce9faa490719c,,0xc097ae5c8aa4e29f94ac3befd50e2f44b9f0fa95
0,602425986,ApeGang #7947,0.077,2021-08-22T17:12:20.443862,,0x85d0cef911f0ba2ee6eeccad85c482fd3c40c0ab,GioCollica,0xc171eda5f70e29ae2f7b959bd1be3b3e06885a31
0,602107250,ApeGang #3197,0.1088,2021-08-22T16:41:48.262458,,0x88a72b209091f4a4ffa3514e520adbe124ca269a,Tinsley,0x2c2c4da5b6f59d9ddad71f6d7407575f9e9a4eb8
0,602034230,ApeGang #6343,0.0777,2021-08-22T16:34:36.509210,,0xe18c96e166b4cbbbbd990b665ac4ace565b5e4d6,dodds,0x443faa4fdf5be0ceb7530e9a036ffb2305f8b1de
0,601915521,ApeGang #8966,0.07,2021-08-22T16:23:26.002320,,0x1af0bacfd6c032f4d2bf58b9f7d42e17d45491a3,EthMeOut,0xe317dd9928de2a891c245180b9b019a17768f0d3
0,601779247,ApeGang #8979,0.08,2021-08-22T16:10:13.018809,,0x98de2a07f09afb28f0b3af3e3dcede7cb97130f1,,0x9436ea75c3189aaf3aa32d7bf58b487f9a7f2324
0,601756965,ApeGang #1382,0.08,2021-08-22T16:08:08.396025,,0x90682a5165f0229169909f667dacfa36381341ee,,0xcaff633d38505e4b2398786526cb845937a113e2
0,601733700,ApeGang #2606,0.095,2021-08-22T16:05:46.275243,,0x3ade3f238451a8595b5205ce5f16370d7bdbc8d5,MoeETH,0x4aec015ff9a4cc5192b1beb8859483c97641a82a
0,601734119,ApeGang #2428,0.1,2021-08-22T16:05:48.598238,,0x5076da1ab3472a1828ce921fc6a423c61576c8c6,love_nfts,0xb0b092448ba039685a2f557d9624971a5bfa2215
0,601714101,ApeGang #4917,0.1,2021-08-22T16:03:49.048763,,0xd5ef0788b2f89afa1c94f0b1385a163fd124a747,love_nfts,0xb0b092448ba039685a2f557d9624971a5bfa2215
0,601708685,ApeGang #4386,0.585,2021-08-22T16:03:14.483626,,0xa93650cfaaff0ebf04f15a0a4fa0c97d80b54905,Diogenese,0x7d6ca8cb7251add254bf96e6e28ec7d64f58784b
0,601694610,ApeGang #476,0.071,2021-08-22T16:01:45.784166,,0x70a9c1ccc5175cdbf0d706f325534e18b1c2bcbd,apepaul,0x1727333127fabbd51842a527e53a0f1ed74be849
0,601592940,ApeGang #2606,0.05,2021-08-22T15:51:33.659955,,0x1af0bacfd6c032f4d2bf58b9f7d42e17d45491a3,sadcolby,0x3ade3f238451a8595b5205ce5f16370d7bdbc8d5
0,601584432,ApeGang #7016,0.07,2021-08-22T15:50:39.345164,,0x8f75dcb28b4101ed7568ce7a7d4efb7dee526daf,Wynneing,0xfa3c03e58e5c2318a82f22e03f7f810fb7021b6b
0,601243976,ApeGang #8541,0.074,2021-08-22T15:25:55.153798,,0x7155b42ae4fe9d3db9fb0d8448759e5f87ffe6d9,Benaldo-Rivaldi,0x2dd83315b50c6fb792071ec4bd6d2dcd224b83f3
0,601197388,ApeGang #9920,0.0748,2021-08-22T15:22:54.618970,,0x0ffae226b0d0565174f4bbda1edff63395939c9e,0123,0xaa5e041d06cc60064573362ce184db284af89c17
0,601185797,ApeGang #4901,0.075,2021-08-22T15:21:43.753426,,0xf9606bb98fc76bf45eb6993450ca2fc59b7889ac,,0x568cee4a1022efa47e4e3ccdd95bbefb147c0f54
0,601108933,ApeGang #3356,0.08,2021-08-22T15:15:32.828279,,0x4a60a51b200cfc0224645c515530dcb3effcb370,UnicityArt,0x891f9926f370c00e61dc9d2b9d4a1fc282a0b48d
0,601028482,ApeGang #6366,0.091,2021-08-22T15:09:43.622501,,0x14c0c6ba4cefb6a643e1df63d414c0ae8a0eb38f,bukj,0x53d6d06bac2a265d335d71cb0b08744e0877495c
0,600688818,ApeGang #9219,0.109,2021-08-22T14:46:26.734714,,0x6b3bacba7a6da1d6660079f5fd49fdc167ec5783,WillBirney,0x7f132114502281be97c9c70beed630e2dfee9cf1
0,600654994,ApeGang #3639,0.08,2021-08-22T14:44:15.703716,,0x7f61089f668764c208036009d1988004dd2cf765,Fwiz,0x5438de398e6dc40b801f161ed2e086c9ada216b4
0,600527619,ApeGang #4573,0.27,2021-08-22T14:35:35.549129,,0xa1d10b9bb07919cfec7938c54b3562060640e2c7,stewdiddy,0x75ec7405a259ce8199710685d649f1e9061af70b
0,600420570,ApeGang #5388,0.0777,2021-08-22T14:28:34.043631,,0xe18c96e166b4cbbbbd990b665ac4ace565b5e4d6,stewdiddy,0x75ec7405a259ce8199710685d649f1e9061af70b
0,600271386,ApeGang #6972,0.25,2021-08-22T14:14:47.477509,,0xf582164bea85324bf97e4a304f0f6192b381276b,WillBirney,0x7f132114502281be97c9c70beed630e2dfee9cf1
0,600203533,ApeGang #1600,0.075,2021-08-22T14:07:27.738869,,0x8f75dcb28b4101ed7568ce7a7d4efb7dee526daf,r0m41n,0x38112ece263bc4292f488786800ce89d251a10a5
