,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1.1.1.1,sale_id,ape_id,sale_price,sale_time,seller_name,seller_wallet,buyer_name,buyer_wallet
1242,1242.0,1242.0,0.0,1332403416,ApeGang #559,0.88,2021-10-11T20:55:04.644034,,0xb8743808d6427ff8a85994c379c3d411792eff7b,IRISHBULL,0x97550d0b49a351ac8d492a61dd9f8371d15884e3
1243,1243.0,1243.0,0.0,1332353692,ApeGang #9572,0.85,2021-10-11T20:50:26.889058,,0x7a75878cc5774aa591db328a00fe6e666a66e600,,0x0c4037b72a0c63340fb530690ea123c612665a34
1244,1244.0,1244.0,0.0,1332297384,ApeGang #7277,2.4,2021-10-11T20:45:06.245465,,0x54b174179ae825ed630da40b625bb3c883cd40ae,NFTJamal,0x3a0c089f53cb662ebc241b7f0010378ff07f08c9
1245,1245.0,1245.0,0.0,1332274995,ApeGang #5087,0.72,2021-10-11T20:43:01.159182,,0x88f7c5a29d8455cc5a801a8461e5eea903188881,,0xa7242a5a1b2c43681bee339a9062480688ad93b2
1246,1246.0,1246.0,0.0,1332256396,ApeGang #8955,0.798,2021-10-11T20:41:13.163668,,0x0e26b2af0cad6eda72fd0d2b39cfb4d71bab4a36,gjh7,0xe7c5cd1470b857966b6f296f8f446238ebbe7c40
1247,1247.0,1247.0,0.0,1332256397,ApeGang #297,1.69,2021-10-11T20:41:13.171596,,0xd0ceca57504cab4b057f6c9635801d408d52ad58,,0x0c4037b72a0c63340fb530690ea123c612665a34
1248,1248.0,1248.0,0.0,1332214386,ApeGang #1963,0.99,2021-10-11T20:36:50.826560,,0x98de2a07f09afb28f0b3af3e3dcede7cb97130f1,,0x0c4037b72a0c63340fb530690ea123c612665a34
1249,1249.0,1249.0,0.0,1332097530,ApeGang #5905,2.0,2021-10-11T20:24:09.616771,,0x7485ac6d8534691993348d51ab0f131a19fff763,,0x7c5b2153fe099985d7496adb15eb2d21fe67e4ef
1250,1250.0,1250.0,0.0,1332069935,ApeGang #4130,0.76,2021-10-11T20:21:20.334284,,0x98de2a07f09afb28f0b3af3e3dcede7cb97130f1,,0x0c4037b72a0c63340fb530690ea123c612665a34
1251,1251.0,1251.0,0.0,1332063057,ApeGang #2782,0.89,2021-10-11T20:20:37.915406,,0x6f35146a62d3e715759aa6d0e6ba99abb5c10ee7,0BTC,0xe3901d0a64973a4f9e163a9fe8448dcdc98ba8e9
1252,1252.0,1252.0,0.0,1331926638,ApeGang #5207,3.0,2021-10-11T20:06:29.012497,,0x3a0c089f53cb662ebc241b7f0010378ff07f08c9,,0x0c4037b72a0c63340fb530690ea123c612665a34
1253,1253.0,1253.0,0.0,1331855567,ApeGang #7563,0.749,2021-10-11T19:59:41.899801,,0xcc3b2af633074ae159a16a0eda2753e7578262ec,,0x0c4037b72a0c63340fb530690ea123c612665a34
1254,1254.0,1254.0,0.0,1331741058,ApeGang #5442,1.0,2021-10-11T19:48:40.695632,,0x7485ac6d8534691993348d51ab0f131a19fff763,Callinectes,0x86b3035aec596aa5fd960ae0e19f7531fb6d0a61
1255,1255.0,1255.0,0.0,1331615805,ApeGang #5539,0.8,2021-10-11T19:35:13.961160,,0x603d284094a8748394d6da627fed98a9578830c3,,0x0c4037b72a0c63340fb530690ea123c612665a34
1256,1256.0,1256.0,0.0,1331610893,ApeGang #2705,1.0,2021-10-11T19:34:43.880621,,0xc96018558f8fc9cf85deeb083d6137e21470e80f,jeremyk,0xe12dfcac9b7b703806afa43e67949216e66a1a82
1257,1257.0,1257.0,0.0,1331569308,ApeGang #372,0.8,2021-10-11T19:30:23.899551,,0x7f873ec58d567e78a2c1dca322cbdb6d490ccb7d,,0x0c4037b72a0c63340fb530690ea123c612665a34
1258,1258.0,1258.0,0.0,1331550948,ApeGang #7043,0.75,2021-10-11T19:28:36.205334,,0x8dba7de73c6cfd00730a2c12b71e11d4c3af9328,,0x0c4037b72a0c63340fb530690ea123c612665a34
1259,1259.0,1259.0,0.0,1331480702,ApeGang #2164,0.7,2021-10-11T19:21:37.533141,,0xce20ae2446d5cfb30997ea6d218b2a799e077e8d,,0xeec730c63155c6d46999f849eaca81b25c07efd7
